{'en': '49.09090909090909', 'fr': '50.90909090909091'}
{'en': '50.31055900621118', 'es': '49.68944099378882'}
{'en': '61.832061068702295', 'es': '38.167938931297705'}
{'en': '62.7906976744186', 'es': '37.2093023255814'}
{'en': '39.90147783251231', 'es': '60.09852216748769'}
{'en': '69.23076923076923', 'es': '30.769230769230774'}
{'en': '65.32258064516128', 'es': '34.67741935483872'}
{'en': '54.729729729729726', 'es': '45.270270270270274'}
{'en': '68.0672268907563', 'nl': '31.932773109243698'}
{'en': '77.14285714285715', 'nl': '22.857142857142847'}
{'en': '77.88461538461539', 'nl': '22.115384615384613'}
{'en': '69.82758620689656', 'nl': '30.172413793103445'}
{'en': '28.321678321678323', 'nl': '71.67832167832168'}
{'en': '80.19801980198021', 'nl': '19.80198019801979'}
{'en': '75.0', 'nl': '25.0'}
{'en': '62.7906976744186', 'nl': '37.2093023255814'}
{'en': '29.347826086956523', 'nl': '70.65217391304347'}
{'en': '51.92307692307693', 'nl': '48.07692307692307'}
{'en': '26.363636363636374'}
{'en': '68.72586872586874'}
{'en': '46.35761589403974'}
{'en': '67.46987951807229'}
{'en': '30.172413793103445'}
{'en': '24.29906542056075'}
{'en': '47.74193548387097'}
{'en': '52.631578947368425'}
{'en': '27.67857142857143'}
{'en': '41.30434782608695'}
{'en': '45.76271186440678', 'fr': '54.23728813559322'}
{'en': '60.0', 'fr': '40.0'}
{'en': '65.32258064516128', 'fr': '34.67741935483872'}
{'en': '78.64077669902912', 'fr': '21.359223300970882'}
{'en': '61.36363636363637', 'fr': '38.63636363636363'}
{'en': '76.41509433962264', 'fr': '23.58490566037736'}
{'en': '71.05263157894737', 'fr': '28.94736842105263'}
{'en': '81.81818181818183', 'fr': '18.181818181818173'}
{'en': '32.66129032258064', 'fr': '67.33870967741936'}
{'en': '56.64335664335665', 'fr': '43.35664335664335'}
{'en': '60.902255639097746', 'sk': '39.097744360902254'}
{'en': '65.32258064516128', 'sk': '34.67741935483872'}
{'en': '69.23076923076923', 'sk': '30.769230769230774'}
{'en': '74.31192660550458', 'sk': '25.68807339449542'}
{'en': '44.751381215469614', 'sk': '55.248618784530386'}
{'en': '62.7906976744186', 'sk': '37.2093023255814'}
{'en': '47.368421052631575', 'sk': '52.631578947368425'}
{'en': '78.64077669902912', 'sk': '21.359223300970882'}
{'en': '31.27413127413127', 'sk': '68.72586872586874'}
{'en': '56.25', 'sk': '43.75'}
{'en': '78.64077669902912', 'sl': '21.359223300970882'}
{'en': '41.11675126903553', 'sl': '58.88324873096447'}
{'en': '44.505494505494504', 'sl': '55.494505494505496'}
{'en': '78.64077669902912', 'sl': '21.359223300970882'}
{'en': '70.43478260869566', 'sl': '29.565217391304344'}
{'en': '74.31192660550458', 'sl': '25.68807339449542'}
{'en': '80.19801980198021', 'sl': '19.80198019801979'}
{'en': '65.32258064516128', 'sl': '34.67741935483872'}
{'en': '66.94214876033058', 'sl': '33.05785123966942'}
{'en': '34.61538461538461', 'sl': '65.38461538461539'}
{'en': '32.27091633466135', 'it': '67.72908366533865'}
{'en': '81.0', 'it': '19.0'}
{'en': '51.59235668789809', 'it': '48.40764331210191'}
{'en': '38.75598086124402', 'it': '61.24401913875598'}
{'en': '65.85365853658537', 'it': '34.14634146341463'}
{'en': '66.39344262295081', 'it': '33.606557377049185'}
{'en': '65.85365853658537', 'it': '34.14634146341463'}
{'en': '74.31192660550458', 'it': '25.68807339449542'}
{'en': '76.41509433962264', 'it': '23.58490566037736'}
{'en': '64.28571428571429', 'it': '35.71428571428571'}
{'en': '58.69565217391305', 'de': '41.30434782608695'}
{'en': '68.64406779661016', 'de': '31.35593220338984'}
{'en': '81.0', 'de': '19.0'}
{'en': '53.289473684210535', 'de': '46.710526315789465'}
{'en': '66.94214876033058', 'de': '33.05785123966942'}
{'en': '75.0', 'de': '25.0'}
{'en': '82.6530612244898', 'de': '17.346938775510196'}
{'en': '59.12408759124088', 'de': '40.87591240875912'}
{'en': '69.82758620689656', 'de': '30.172413793103445'}
{'en': '69.23076923076923', 'de': '30.769230769230774'}
{'en': '50.0', 'es': '50.0'}
{'en': '57.04225352112676', 'es': '42.95774647887324'}
{'en': '59.12408759124088', 'es': '40.87591240875912'}
{'en': '58.27338129496403', 'es': '41.72661870503597'}
{'en': '71.68141592920354', 'es': '28.31858407079646'}
{'en': '64.8', 'es': '35.2'}
{'en': '36.486486486486484', 'es': '63.513513513513516'}
{'en': '72.32142857142857', 'es': '27.67857142857143'}
{'en': '59.55882352941176', 'es': '40.44117647058824'}
{'en': '68.64406779661016', 'es': '31.35593220338984'}
{'en': '65.85365853658537', 'nl': '34.14634146341463'}
{'en': '41.11675126903553', 'nl': '58.88324873096447'}
{'en': '55.47945205479452', 'nl': '44.52054794520548'}
{'en': '75.70093457943925', 'nl': '24.29906542056075'}
{'en': '71.68141592920354', 'nl': '28.31858407079646'}
{'en': '71.05263157894737', 'nl': '28.94736842105263'}
{'en': '71.05263157894737', 'nl': '28.94736842105263'}
{'en': '69.82758620689656', 'nl': '30.172413793103445'}
{'en': '74.31192660550458', 'nl': '25.68807339449542'}
{'en': '81.81818181818183', 'nl': '18.181818181818173'}
{'en': '15.060240963855422', 'fr': '84.93975903614458'}
{'en': '23.364485981308412', 'fr': '76.6355140186916'}
{'en': '22.123893805309734', 'fr': '77.87610619469027'}
{'en': '47.16981132075472', 'fr': '52.83018867924528'}
{'en': '18.248175182481752', 'fr': '81.75182481751824'}
{'en': '15.060240963855422', 'fr': '84.93975903614458'}
{'en': '36.231884057971016', 'fr': '63.768115942028984'}
{'en': '26.595744680851062', 'fr': '73.40425531914894'}
{'en': '34.72222222222222', 'fr': '65.27777777777777'}
{'en': '40.32258064516129', 'fr': '59.67741935483871'}
{'en': '29.069767441860467', 'sk': '70.93023255813954'}
{'en': '58.139534883720934', 'sk': '41.860465116279066'}
{'en': '36.76470588235294', 'sk': '63.23529411764706'}
{'en': '44.642857142857146', 'sk': '55.357142857142854'}
{'en': '39.0625', 'sk': '60.9375'}
{'en': '54.347826086956516', 'sk': '45.652173913043484'}
{'en': '40.98360655737705', 'sk': '59.01639344262295'}
{'en': '30.864197530864196', 'sk': '69.1358024691358'}
{'en': '48.07692307692308', 'sk': '51.92307692307692'}
{'en': '41.66666666666667', 'sk': '58.33333333333333'}
{'en': '26.881720430107524', 'sl': '73.11827956989248'}
{'en': '20.491803278688526', 'sl': '79.50819672131148'}
{'en': '32.89473684210527', 'sl': '67.10526315789474'}
{'en': '23.809523809523807', 'sl': '76.19047619047619'}
{'en': '44.642857142857146', 'sl': '55.357142857142854'}
{'en': '33.78378378378378', 'sl': '66.21621621621622'}
{'en': '21.73913043478261', 'sl': '78.26086956521739'}
{'en': '35.2112676056338', 'sl': '64.7887323943662'}
{'en': '34.24657534246575', 'sl': '65.75342465753425'}
{'en': '40.98360655737705', 'sl': '59.01639344262295'}
{'en': '25.252525252525253', 'it': '74.74747474747474'}
{'en': '51.02040816326531', 'it': '48.97959183673469'}
{'en': '17.123287671232877', 'it': '82.87671232876713'}
{'en': '27.77777777777778', 'it': '72.22222222222223'}
{'en': '51.02040816326531', 'it': '48.97959183673469'}
{'en': '30.120481927710845', 'it': '69.87951807228916'}
{'en': '9.578544061302683', 'it': '90.42145593869732'}
{'en': '20.161290322580644', 'it': '79.83870967741936'}
{'en': '28.40909090909091', 'it': '71.5909090909091'}
{'en': '56.81818181818182', 'it': '43.18181818181818'}
{'en': '55.55555555555556', 'de': '44.44444444444444'}
{'en': '27.77777777777778', 'de': '72.22222222222223'}
{'en': '42.3728813559322', 'de': '57.6271186440678'}
{'en': '36.76470588235294', 'de': '63.23529411764706'}
{'en': '39.0625', 'de': '60.9375'}
{'en': '28.08988764044944', 'de': '71.91011235955057'}
{'en': '25.0', 'de': '75.0'}
{'en': '21.929824561403507', 'de': '78.0701754385965'}
{'en': '53.191489361702125', 'de': '46.808510638297875'}
{'en': '40.32258064516129', 'de': '59.67741935483871'}
{'en': '25.252525252525253', 'es': '74.74747474747474'}
{'en': '26.595744680851062', 'es': '73.40425531914894'}
{'en': '44.642857142857146', 'es': '55.357142857142854'}
{'en': '19.68503937007874', 'es': '80.31496062992126'}
{'en': '25.773195876288657', 'es': '74.22680412371135'}
{'en': '31.25', 'es': '68.75'}
{'en': '16.778523489932887', 'es': '83.2214765100671'}
{'en': '47.16981132075472', 'es': '52.83018867924528'}
{'en': '26.041666666666668', 'es': '73.95833333333333'}
{'en': '31.25', 'es': '68.75'}
{'en': '23.14814814814815', 'nl': '76.85185185185185'}
{'en': '52.083333333333336', 'nl': '47.916666666666664'}
{'en': '18.38235294117647', 'nl': '81.61764705882354'}
{'en': '35.2112676056338', 'nl': '64.7887323943662'}
{'en': '39.682539682539684', 'nl': '60.317460317460316'}
{'en': '19.379844961240313', 'nl': '80.62015503875969'}
{'en': '29.069767441860467', 'nl': '70.93023255813954'}
{'en': '43.859649122807014', 'nl': '56.140350877192986'}
{'en': '53.191489361702125', 'nl': '46.808510638297875'}
{'en': '36.231884057971016', 'nl': '63.768115942028984'}
{'en': '83.76623376623377'}
{'en': '69.87951807228916'}
{'en': '51.92307692307692'}
{'en': '68.35443037974683'}
{'en': '80.31496062992126'}
{'en': '50.98039215686275'}
{'en': '70.58823529411765'}
{'en': '82.99319727891157'}
{'en': '74.48979591836735'}
{'en': '78.0701754385965'}
{'en': '36.76470588235294', 'fr': '63.23529411764706'}
{'en': '11.160714285714286', 'fr': '88.83928571428571'}
{'en': '44.642857142857146', 'fr': '55.357142857142854'}
{'en': '23.364485981308412', 'fr': '76.6355140186916'}
{'en': '16.55629139072848', 'fr': '83.44370860927152'}
{'en': '47.16981132075472', 'fr': '52.83018867924528'}
{'en': '33.33333333333333', 'fr': '66.66666666666667'}
{'en': '15.060240963855422', 'fr': '84.93975903614458'}
{'en': '22.727272727272727', 'fr': '77.27272727272728'}
{'en': '18.38235294117647', 'fr': '81.61764705882354'}
{'en': '45.45454545454545', 'sk': '54.54545454545455'}
{'en': '24.03846153846154', 'sk': '75.96153846153845'}
{'en': '35.714285714285715', 'sk': '64.28571428571428'}
{'en': '30.864197530864196', 'sk': '69.1358024691358'}
{'en': '48.07692307692308', 'sk': '51.92307692307692'}
{'en': '31.645569620253166', 'sk': '68.35443037974683'}
{'en': '43.103448275862064', 'sk': '56.896551724137936'}
{'en': '46.2962962962963', 'sk': '53.7037037037037'}
{'en': '20.0', 'sk': '80.0'}
{'en': '33.33333333333333', 'sk': '66.66666666666667'}
{'en': '26.041666666666668', 'sl': '73.95833333333333'}
{'en': '13.368983957219251', 'sl': '86.63101604278074'}
{'en': '9.363295880149813', 'sl': '90.63670411985018'}
{'en': '54.347826086956516', 'sl': '45.652173913043484'}
{'en': '42.3728813559322', 'sl': '57.6271186440678'}
{'en': '31.645569620253166', 'sl': '68.35443037974683'}
{'en': '45.45454545454545', 'sl': '54.54545454545455'}
{'en': '52.083333333333336', 'sl': '47.916666666666664'}
{'en': '27.472527472527474', 'sl': '72.52747252747253'}
{'en': '29.069767441860467', 'sl': '70.93023255813954'}
{'en': '53.191489361702125', 'it': '46.808510638297875'}
{'en': '20.491803278688526', 'it': '79.50819672131148'}
{'en': '50.0', 'it': '50.0'}
{'en': '16.55629139072848', 'it': '83.44370860927152'}
{'en': '40.98360655737705', 'it': '59.01639344262295'}
{'en': '42.3728813559322', 'it': '57.6271186440678'}
{'en': '43.103448275862064', 'it': '56.896551724137936'}
{'en': '19.841269841269842', 'it': '80.15873015873015'}
{'en': '52.083333333333336', 'it': '47.916666666666664'}
{'en': '29.411764705882355', 'it': '70.58823529411765'}
{'en': '36.231884057971016', 'de': '63.768115942028984'}
{'en': '12.077294685990339', 'de': '87.92270531400966'}
{'en': '51.02040816326531', 'de': '48.97959183673469'}
{'en': '53.191489361702125', 'de': '46.808510638297875'}
{'en': '56.81818181818182', 'de': '43.18181818181818'}
{'en': '41.66666666666667', 'de': '58.33333333333333'}
{'en': '40.32258064516129', 'de': '59.67741935483871'}
{'en': '33.78378378378378', 'de': '66.21621621621622'}
{'en': '34.72222222222222', 'de': '65.27777777777777'}
{'en': '34.24657534246575', 'de': '65.75342465753425'}
{'en': '5.01002004008016', 'es': '94.98997995991984'}
{'en': '46.2962962962963', 'es': '53.7037037037037'}
{'en': '34.24657534246575', 'es': '65.75342465753425'}
{'en': '35.2112676056338', 'es': '64.7887323943662'}
{'en': '42.3728813559322', 'es': '57.6271186440678'}
{'en': '46.2962962962963', 'es': '53.7037037037037'}
{'en': '28.08988764044944', 'es': '71.91011235955057'}
{'en': '39.0625', 'es': '60.9375'}
{'en': '45.45454545454545', 'es': '54.54545454545455'}
{'en': '39.0625', 'es': '60.9375'}
{'en': '30.864197530864196', 'nl': '69.1358024691358'}
{'en': '50.0', 'nl': '50.0'}
{'en': '43.103448275862064', 'nl': '56.896551724137936'}
{'en': '46.2962962962963', 'nl': '53.7037037037037'}
{'en': '27.472527472527474', 'nl': '72.52747252747253'}
{'en': '17.985611510791365', 'nl': '82.01438848920864'}
{'en': '22.52252252252252', 'nl': '77.47747747747748'}
{'en': '31.645569620253166', 'nl': '68.35443037974683'}
{'en': '18.939393939393938', 'nl': '81.06060606060606'}
{'en': '14.97005988023952', 'nl': '85.02994011976048'}
{'en': '38.961038961038966', 'fr': '61.038961038961034'}
{'en': '17.441860465116278', 'fr': '82.55813953488372'}
{'en': '51.724137931034484', 'fr': '48.275862068965516'}
{'en': '50.0', 'fr': '50.0'}
{'en': '54.54545454545454', 'fr': '45.45454545454546'}
{'en': '17.857142857142858', 'fr': '82.14285714285714'}
{'en': '8.670520231213873', 'fr': '91.32947976878613'}
{'en': '47.61904761904761', 'fr': '52.38095238095239'}
{'en': '47.61904761904761', 'fr': '52.38095238095239'}
{'en': '31.57894736842105', 'fr': '68.42105263157895'}
{'en': '58.82352941176471', 'sk': '41.17647058823529'}
{'en': '50.0', 'sk': '50.0'}
{'en': '45.45454545454545', 'sk': '54.54545454545455'}
{'en': '54.54545454545454', 'sk': '45.45454545454546'}
{'en': '48.38709677419355', 'sk': '51.61290322580645'}
{'en': '28.037383177570092', 'sk': '71.96261682242991'}
{'en': '41.66666666666667', 'sk': '58.33333333333333'}
{'en': '49.18032786885246', 'sk': '50.81967213114754'}
{'en': '44.11764705882353', 'sk': '55.88235294117647'}
{'en': '52.63157894736842', 'sk': '47.36842105263158'}
{'en': '46.875', 'sl': '53.125'}
{'en': '52.63157894736842', 'sl': '47.36842105263158'}
{'en': '37.5', 'sl': '62.5'}
{'en': '33.70786516853933', 'sl': '66.29213483146067'}
{'en': '40.0', 'sl': '60.0'}
{'en': '30.303030303030305', 'sl': '69.69696969696969'}
{'en': '65.21739130434783', 'sl': '34.78260869565217'}
{'en': '42.25352112676056', 'sl': '57.74647887323944'}
{'en': '56.60377358490566', 'sl': '43.39622641509434'}
{'en': '46.875', 'sl': '53.125'}
{'en': '27.522935779816514', 'it': '72.47706422018348'}
{'en': '30.0', 'it': '70.0'}
{'en': '57.692307692307686', 'it': '42.307692307692314'}
{'en': '34.090909090909086', 'it': '65.9090909090909'}
{'en': '34.883720930232556', 'it': '65.11627906976744'}
{'en': '30.0', 'it': '70.0'}
{'en': '27.522935779816514', 'it': '72.47706422018348'}
{'en': '44.11764705882353', 'it': '55.88235294117647'}
{'en': '51.724137931034484', 'it': '48.275862068965516'}
{'en': '49.18032786885246', 'it': '50.81967213114754'}
{'en': '35.714285714285715', 'de': '64.28571428571428'}
{'en': '28.037383177570092', 'de': '71.96261682242991'}
{'en': '26.31578947368421', 'de': '73.6842105263158'}
{'en': '18.404907975460123', 'de': '81.59509202453988'}
{'en': '41.0958904109589', 'de': '58.9041095890411'}
{'en': '17.647058823529413', 'de': '82.35294117647058'}
{'en': '44.11764705882353', 'de': '55.88235294117647'}
{'en': '60.0', 'de': '40.0'}
{'en': '47.61904761904761', 'de': '52.38095238095239'}
{'en': '58.82352941176471', 'de': '41.17647058823529'}
{'en': '49.18032786885246', 'es': '50.81967213114754'}
{'en': '28.30188679245283', 'es': '71.69811320754717'}
{'en': '36.58536585365854', 'es': '63.41463414634146'}
{'en': '30.0', 'es': '70.0'}
{'en': '51.724137931034484', 'es': '48.275862068965516'}
{'en': '30.303030303030305', 'es': '69.69696969696969'}
{'en': '14.77832512315271', 'es': '85.22167487684729'}
{'en': '46.15384615384615', 'es': '53.84615384615385'}
{'en': '31.57894736842105', 'es': '68.42105263157895'}
{'en': '47.61904761904761', 'es': '52.38095238095239'}
{'en': '36.58536585365854', 'nl': '63.41463414634146'}
{'en': '53.57142857142857', 'nl': '46.42857142857143'}
{'en': '63.829787234042556', 'nl': '36.170212765957444'}
{'en': '34.090909090909086', 'nl': '65.9090909090909'}
{'en': '20.54794520547945', 'nl': '79.45205479452055'}
{'en': '32.608695652173914', 'nl': '67.3913043478261'}
{'en': '45.45454545454545', 'nl': '54.54545454545455'}
{'en': '38.46153846153847', 'nl': '61.53846153846153'}
{'en': '57.692307692307686', 'nl': '42.307692307692314'}
{'en': '47.61904761904761', 'nl': '52.38095238095239'}
{'en': '85.57692307692308'}
{'en': '86.23853211009174'}
{'en': '72.97297297297297'}
{'en': '60.0'}
{'en': '85.71428571428572'}
{'en': '66.66666666666667'}
{'en': '69.38775510204081'}
{'en': '71.96261682242991'}
{'en': '64.70588235294117'}
{'en': '43.39622641509434'}
{'en': '21.897810218978105', 'fr': '78.10218978102189'}
{'en': '26.08695652173913', 'fr': '73.91304347826087'}
{'en': '49.18032786885246', 'fr': '50.81967213114754'}
{'en': '41.0958904109589', 'fr': '58.9041095890411'}
{'en': '20.689655172413794', 'fr': '79.3103448275862'}
{'en': '20.0', 'fr': '80.0'}
{'en': '39.473684210526315', 'fr': '60.526315789473685'}
{'en': '37.03703703703704', 'fr': '62.96296296296296'}
{'en': '55.55555555555556', 'fr': '44.44444444444444'}
{'en': '43.47826086956522', 'fr': '56.52173913043478'}
{'en': '19.607843137254903', 'sk': '80.3921568627451'}
{'en': '54.54545454545454', 'sk': '45.45454545454546'}
{'en': '28.30188679245283', 'sk': '71.69811320754717'}
{'en': '50.0', 'sk': '50.0'}
{'en': '50.0', 'sk': '50.0'}
{'en': '42.25352112676056', 'sk': '57.74647887323944'}
{'en': '55.55555555555556', 'sk': '44.44444444444444'}
{'en': '44.11764705882353', 'sk': '55.88235294117647'}
{'en': '23.076923076923077', 'sk': '76.92307692307692'}
{'en': '30.303030303030305', 'sk': '69.69696969696969'}
{'en': '55.55555555555556', 'sl': '44.44444444444444'}
{'en': '35.294117647058826', 'sl': '64.70588235294117'}
{'en': '15.0', 'sl': '85.0'}
{'en': '48.38709677419355', 'sl': '51.61290322580645'}
{'en': '60.0', 'sl': '40.0'}
{'en': '46.875', 'sl': '53.125'}
{'en': '30.612244897959183', 'sl': '69.38775510204081'}
{'en': '41.0958904109589', 'sl': '58.9041095890411'}
{'en': '37.9746835443038', 'sl': '62.0253164556962'}
{'en': '40.54054054054054', 'sl': '59.45945945945946'}
{'en': '13.043478260869565', 'it': '86.95652173913044'}
{'en': '33.33333333333333', 'it': '66.66666666666667'}
{'en': '18.75', 'it': '81.25'}
{'en': '28.037383177570092', 'it': '71.96261682242991'}
{'en': '58.82352941176471', 'it': '41.17647058823529'}
{'en': '33.33333333333333', 'it': '66.66666666666667'}
{'en': '49.18032786885246', 'it': '50.81967213114754'}
{'en': '53.57142857142857', 'it': '46.42857142857143'}
{'en': '27.522935779816514', 'it': '72.47706422018348'}
{'en': '28.30188679245283', 'it': '71.69811320754717'}
{'en': '50.0', 'de': '50.0'}
{'en': '56.60377358490566', 'de': '43.39622641509434'}
{'en': '45.45454545454545', 'de': '54.54545454545455'}
{'en': '60.0', 'de': '40.0'}
{'en': '56.60377358490566', 'de': '43.39622641509434'}
{'en': '42.857142857142854', 'de': '57.142857142857146'}
{'en': '34.883720930232556', 'de': '65.11627906976744'}
{'en': '52.63157894736842', 'de': '47.36842105263158'}
{'en': '52.63157894736842', 'de': '47.36842105263158'}
{'en': '42.25352112676056', 'de': '57.74647887323944'}
{'en': '24.793388429752067', 'es': '75.20661157024793'}
{'en': '43.47826086956522', 'es': '56.52173913043478'}
{'en': '50.847457627118644', 'es': '49.152542372881356'}
{'en': '33.70786516853933', 'es': '66.29213483146067'}
{'en': '30.0', 'es': '70.0'}
{'en': '50.0', 'es': '50.0'}
{'en': '47.61904761904761', 'es': '52.38095238095239'}
{'en': '24.59016393442623', 'es': '75.40983606557377'}
{'en': '30.612244897959183', 'es': '69.38775510204081'}
{'en': '41.66666666666667', 'es': '58.33333333333333'}
{'en': '21.428571428571427', 'nl': '78.57142857142857'}
{'en': '33.33333333333333', 'nl': '66.66666666666667'}
{'en': '30.927835051546392', 'nl': '69.0721649484536'}
{'en': '23.076923076923077', 'nl': '76.92307692307692'}
{'en': '29.7029702970297', 'nl': '70.29702970297029'}
{'en': '25.862068965517242', 'nl': '74.13793103448276'}
{'en': '32.608695652173914', 'nl': '67.3913043478261'}
{'en': '47.61904761904761', 'nl': '52.38095238095239'}
{'en': '42.857142857142854', 'nl': '57.142857142857146'}
{'en': '61.224489795918366', 'nl': '38.775510204081634'}
{'en': '42.857142857142854', 'fr': '57.142857142857146'}
{'en': '28.57142857142857', 'fr': '71.42857142857143'}
{'en': '55.172413793103445', 'fr': '44.827586206896555'}
{'en': '20.689655172413794', 'fr': '79.3103448275862'}
{'en': '28.07017543859649', 'fr': '71.9298245614035'}
{'en': '57.14285714285714', 'fr': '42.85714285714286'}
{'en': '40.67796610169492', 'fr': '59.32203389830508'}
{'en': '40.67796610169492', 'fr': '59.32203389830508'}
{'en': '24.615384615384617', 'fr': '75.38461538461539'}
{'en': '64.0', 'fr': '36.0'}
{'en': '52.17391304347826', 'sk': '47.82608695652174'}
{'en': '37.79527559055118', 'sk': '62.20472440944882'}
{'en': '57.831325301204814', 'sk': '42.168674698795186'}
{'en': '57.831325301204814', 'sk': '42.168674698795186'}
{'en': '23.18840579710145', 'sk': '76.81159420289855'}
{'en': '52.74725274725275', 'sk': '47.25274725274725'}
{'en': '54.54545454545454', 'sk': '45.45454545454546'}
{'en': '42.857142857142854', 'sk': '57.142857142857146'}
{'en': '27.74566473988439', 'sk': '72.25433526011561'}
{'en': '63.1578947368421', 'sk': '36.8421052631579'}
{'en': '47.524752475247524', 'sl': '52.475247524752476'}
{'en': '33.80281690140845', 'sl': '66.19718309859155'}
{'en': '29.09090909090909', 'sl': '70.9090909090909'}
{'en': '58.536585365853654', 'sl': '41.463414634146346'}
{'en': '47.05882352941176', 'sl': '52.94117647058824'}
{'en': '69.56521739130434', 'sl': '30.434782608695656'}
{'en': '42.47787610619469', 'sl': '57.52212389380531'}
{'en': '48.97959183673469', 'sl': '51.02040816326531'}
{'en': '60.0', 'sl': '40.0'}
{'en': '67.6056338028169', 'sl': '32.3943661971831'}
{'en': '63.1578947368421', 'it': '36.8421052631579'}
{'en': '28.74251497005988', 'it': '71.25748502994011'}
{'en': '22.429906542056074', 'it': '77.57009345794393'}
{'en': '50.0', 'it': '50.0'}
{'en': '63.1578947368421', 'it': '36.8421052631579'}
{'en': '34.78260869565217', 'it': '65.21739130434783'}
{'en': '61.53846153846154', 'it': '38.46153846153846'}
{'en': '32.21476510067114', 'it': '67.78523489932886'}
{'en': '17.20430107526882', 'it': '82.79569892473118'}
{'en': '55.172413793103445', 'it': '44.827586206896555'}
{'en': '46.15384615384615', 'de': '53.84615384615385'}
{'en': '51.61290322580645', 'de': '48.38709677419355'}
{'en': '47.524752475247524', 'de': '52.475247524752476'}
{'en': '26.81564245810056', 'de': '73.18435754189944'}
{'en': '64.86486486486487', 'de': '35.13513513513513'}
{'en': '39.02439024390244', 'de': '60.97560975609756'}
{'en': '28.74251497005988', 'de': '71.25748502994011'}
{'en': '53.93258426966292', 'de': '46.06741573033708'}
{'en': '35.03649635036496', 'de': '64.96350364963504'}
{'en': '31.788079470198678', 'de': '68.21192052980132'}
{'en': '60.0', 'es': '40.0'}
{'en': '41.02564102564102', 'es': '58.97435897435898'}
{'en': '50.0', 'es': '50.0'}
{'en': '47.524752475247524', 'es': '52.475247524752476'}
{'en': '48.484848484848484', 'es': '51.515151515151516'}
{'en': '56.470588235294116', 'es': '43.529411764705884'}
{'en': '44.03669724770643', 'es': '55.96330275229357'}
{'en': '33.80281690140845', 'es': '66.19718309859155'}
{'en': '39.66942148760331', 'es': '60.33057851239669'}
{'en': '59.25925925925925', 'es': '40.74074074074075'}
{'en': '36.6412213740458', 'nl': '63.3587786259542'}
{'en': '40.0', 'nl': '60.0'}
{'en': '57.14285714285714', 'nl': '42.85714285714286'}
{'en': '55.81395348837209', 'nl': '44.18604651162791'}
{'en': '33.33333333333333', 'nl': '66.66666666666667'}
{'en': '69.56521739130434', 'nl': '30.434782608695656'}
{'en': '24.0', 'nl': '76.0'}
{'en': '30.0', 'nl': '70.0'}
